customer_city,total_orders,late_orders,avg_delivery_days,avg_delivery_days_not_null,late_delivery_rate,level,product_category_name
sao paulo,14971,157,7.37,7.367042949702759,1.05,city,
rio de janeiro,6611,489,13.74,13.737104825291182,7.4,city,
belo horizonte,2671,44,10.36,10.362036690378135,1.65,city,
brasilia,2066,47,12.09,12.089545014520812,2.27,city,
curitiba,1462,26,9.8,9.803009575923392,1.78,city,
campinas,1397,26,9.11,9.111667859699356,1.86,city,
porto alegre,1326,110,15.01,15.013574660633484,8.3,city,
salvador,1208,129,18.06,18.05546357615894,10.68,city,
guarulhos,1151,5,7.28,7.2762814943527365,0.43,city,
sao bernardo do campo,908,10,7.47,7.47136563876652,1.1,city,
niteroi,810,58,13.6,13.603703703703705,7.16,city,
santo andre,769,5,7.22,7.219765929778934,0.65,city,
osasco,716,5,6.92,6.924581005586592,0.7,city,
santos,690,12,8.62,8.615942028985508,1.74,city,
goiania,671,31,14.32,14.321907600596125,4.62,city,
sao jose dos campos,664,5,7.73,7.730421686746988,0.75,city,
fortaleza,642,84,19.19,19.193146417445483,13.08,city,
sorocaba,609,2,7.05,7.0492610837438425,0.33,city,
recife,586,59,17.45,17.447098976109213,10.07,city,
jundiai,547,6,8.28,8.283363802559416,1.1,city,
florianopolis,545,19,14.29,14.289908256880734,3.49,city,
ribeirao preto,488,6,9.04,9.040983606557377,1.23,city,
belem,435,64,20.63,20.63448275862069,14.71,city,
nova iguacu,431,32,12.97,12.967517401392112,7.42,city,
barueri,419,2,6.99,6.985680190930788,0.48,city,
contagem,417,8,10.53,10.529976019184652,1.92,city,
juiz de fora,415,9,11.86,11.857831325301206,2.17,city,
sao goncalo,398,57,17.4,17.399497487437184,14.32,city,
mogi das cruzes,370,4,6.99,6.991891891891892,1.08,city,
vitoria,367,7,13.53,13.528610354223433,1.91,city,
uberlandia,366,7,10.99,10.989071038251366,1.91,city,
piracicaba,360,3,7.06,7.063888888888889,0.83,city,
sao luis,340,42,19.22,19.220588235294116,12.35,city,
sao jose do rio preto,328,2,8.87,8.86890243902439,0.61,city,
vila velha,325,21,16.33,16.32923076923077,6.46,city,
carapicuiba,320,3,6.79,6.79375,0.94,city,
campo grande,315,15,14.04,14.038095238095238,4.76,city,
maua,314,5,8.21,8.210191082802547,1.59,city,
praia grande,297,6,9.71,9.710437710437711,2.02,city,
londrina,297,3,10.48,10.478114478114477,1.01,city,
taboao da serra,284,2,6.1,6.098591549295775,0.7,city,
serra,278,19,16.31,16.309352517985612,6.83,city,
diadema,272,6,7.82,7.823529411764706,2.21,city,
teresina,271,30,19.85,19.85239852398524,11.07,city,
indaiatuba,269,3,7.86,7.862453531598513,1.12,city,
bauru,267,0,8.41,8.408239700374532,0.0,city,
taubate,266,4,9.33,9.334586466165414,1.5,city,
sao caetano do sul,266,3,7.47,7.469924812030075,1.13,city,
duque de caxias,262,19,14.03,14.030534351145038,7.25,city,
maringa,261,3,11.37,11.371647509578544,1.15,city,
joinville,260,19,14.36,14.361538461538462,7.31,city,
maceio,243,62,23.99,23.987654320987655,25.51,city,
